"ASN.SITE.NO","DAY","MONTH","YEAR","DOC","A350","SR","BA","FI","HIXOHNO","C1","C2","C3","C4","C5","C6","C7","SUVA254","DISC","DO","pH","S.COND","SRP","TDN","TDP","TEMP","TP","TSS","A254","Cth","Cmh","Cmp","Cf"
4,NA,8,2005,6.377,7.618355638,1.044097012,0.61244359,1.414662154,0.889243764,NA,NA,NA,NA,NA,NA,NA,3.999010356,NA,NA,8.27,335,NA,705,4.726495,20,16.883105,NA,NA,NA,NA,NA,NA
5,NA,8,2005,18.751,13.93456822,0.878194425,0.546683261,1.272730351,0.950026998,NA,NA,NA,NA,NA,NA,NA,3.051458675,0.0003125,NA,7.87,364,NA,854,14.30281,20,54.73573,NA,NA,NA,NA,NA,NA
6,NA,8,2005,12.631,7.568868985,0.955368741,0.608995433,1.4813205,0.929329093,NA,NA,NA,NA,NA,NA,NA,2.606196579,0.342379562,NA,8.22,264,NA,702,3.96647,21,23.1191,NA,NA,NA,NA,NA,NA
7,NA,8,2005,20.923,15.32157282,0.849060567,0.535243951,1.489063819,0.95206234,NA,NA,NA,NA,NA,NA,NA,3.052696694,0,NA,8.37,528,NA,946,6.70256,19,37.543035,NA,NA,NA,NA,NA,NA
8,NA,8,2005,19.116,13.78058445,1.016431417,0.55835548,1.437711286,0.940437758,NA,NA,NA,NA,NA,NA,NA,2.765427801,0.04375,NA,7.49,504,NA,859,7.61459,19,18.205295,NA,NA,NA,NA,NA,NA
9,NA,8,2005,11.427,8.180270279,1.032033522,0.601757423,1.510979225,0.925456523,NA,NA,NA,NA,NA,NA,NA,2.292547211,NA,NA,7.56,433,NA,775,4.726495,20,5.06366,NA,NA,NA,NA,NA,NA
10,NA,8,2005,4.721,1.680657767,1.332098244,0.736162809,NA,0.902312324,NA,NA,NA,NA,NA,NA,NA,1.348017616,0.006,NA,7.74,307,NA,1182,0.62236,22,25.8493,NA,NA,NA,NA,NA,NA
11,NA,8,2005,7.22,2.793334006,1.31655871,0.702385484,NA,0.868531326,NA,NA,NA,NA,NA,NA,NA,1.926592896,1.67067215,NA,8.64,141,NA,599,2.902435,24,14.40517,NA,NA,NA,NA,NA,NA
12,NA,8,2005,3.313,1.581136024,0.921284133,0.582891581,1.367913981,0.957701458,NA,NA,NA,NA,NA,NA,NA,1.679586304,0.095304314,NA,8.3,345,NA,1171,0,15,3.61197,NA,NA,NA,NA,NA,NA
13,NA,8,2005,6.471,5.355686071,1.053893818,0.535212715,NA,0.940456345,NA,NA,NA,NA,NA,NA,NA,2.638286628,0.0974189,NA,8.2,365,NA,840,4.09,20,7.86089,NA,NA,NA,NA,NA,NA
14,NA,8,2005,13.137,7.152767194,1.099393726,0.705717405,NA,0.87663899,NA,NA,NA,NA,NA,NA,NA,2.309210672,NA,NA,7.53,626,NA,1463,48.807945,23,107.234755,NA,NA,NA,NA,NA,NA
16,NA,8,2005,9.283,4.952648875,1.335352331,0.593881699,NA,0.927795409,NA,NA,NA,NA,NA,NA,NA,1.62691468,0.198912291,NA,8.33,475,NA,1400,10.806695,22,29.27278,NA,NA,NA,NA,NA,NA
17,NA,8,2005,15.873,10.6243651,0.889705716,0.525790505,NA,0.954006232,NA,NA,NA,NA,NA,NA,NA,2.772487772,NA,NA,7.22,380,NA,1446,23.65,21,169.890925,NA,NA,NA,NA,NA,NA
18,NA,8,2005,6.822,3.798855119,1.250018693,0.645626247,NA,0.908616652,NA,NA,NA,NA,NA,NA,NA,1.746631753,0.415175775,NA,8.26,330,NA,691,6.39855,21,27.22029,NA,NA,NA,NA,NA,NA
19,NA,8,2005,11.098,4.771182019,1.126597528,0.676442715,NA,0.881266325,NA,NA,NA,NA,NA,NA,NA,2.032304507,NA,NA,7.85,281,NA,849,5.86959,22.5,18.266435,NA,NA,NA,NA,NA,NA
